Poem Name,Poet,year,Source,Line,Metaphor present or not,count of the metaphor,metaphorical terms,The target domain,The sorce domain,Meaning
දෙහද,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මහද සිතුවම් කඩෙහි මතුවන,yes,1,මහද සිතුවම් කඩෙහි,මහද,සිතුවම් කඩ,My heart is a painting paper
දෙහද,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අපහැදිලි කල්පනා රේඛා,yes,1,කල්පනා රේඛා,කල්පනා ,රේඛා,The line of thoughts
දෙහද,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ඔබේ හදවත් තෙලිතුඩෙන් ගෙන,yes,1,හදවත් තෙලිතුඩෙන්,හදවත් ,තෙලිතුඩෙන්,The heart is a paint brush
දෙහද,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පන පොවා පින්තාරු කළ මැන,no,0,,,,
සිත් බැති මල්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නිරුදක කතරක වියැළුණු මිරිකුණු,no,0,,,,
සිත් බැති මල්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සිත කය නිවන පුරා,no,0,,,,
සිත් බැති මල්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අමා දම් ගඟ ඇදී ඇදී යයි,yes,1,අමා දම් ගඟ,දම්,ගඟ,The rive of dharma
සිත් බැති මල්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,කෙම්බිම දකින තුරා,no,0,,,,
නෙත් සුව ලබන නියා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අඳුරෙන් සලිතව කඳුලින් බරිතව පීඩිත මිලින ගතින්,no,0,,,,
නෙත් සුව ලබන නියා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ඇදී ඇදී විත් අසීරුවෙන් ජීවන කතර මැදින්,yes,1,ජීවන කතර,ජීවන ,කතර,The desert of life
නෙත් සුව ලබන නියා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සීතල කරුණා ජලාශයේ නෑවෙමි දම් අම පැන්,yes,1,කරුණා ජලාශයේ,කරුණා ,ජලාශයේ ,The reservoir of kindness
නෙත් සුව ලබන නියා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ඒ සිහිලැල්ලේ දිග සිත දෙනෙතින් නිවනේ එළිය දකිම්,yes,0,,,,
නෙත් සුව ලබන නියා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සඳකැන් දිදුලන නිල්මිණි නෙත් අග,yes,1,නිල්මිණි නෙත්,නෙත්,නිල්මිණි,The blue gems eyes
නෙත් සුව ලබන නියා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,කිමද කුමරියේ කඳුළු පිරිලා,no,0,,,,
නෙත් සුව ලබන නියා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ආවෙමි ජීවක ඇදුරු සොයා,no,0,,,,
නෙත් සුව ලබන නියා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මගේ නෙත් සුව ලබන නියා,no,0,,,,
නෙත් සුව ලබන නියා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,හසරක් නොපෙනෙන සසරෙහි අපමණ සෝගිනි රුදුරු වෙසින්,yes,1,සෝගිනි,සෝ,ගිනි,The fire of sadness
නෙත් සුව ලබන නියා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අතීතයේ සිට නැගී ඇවිත් මා වට කොට ඇත දැන්,no,0,,,,
නෙත් සුව ලබන නියා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ගලා ගලා විත් අනාගත සීතල ගඟුලක් මෙන්,similies,0,,,,
නෙත් සුව ලබන නියා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ඒ ගිනි දැල්ලෙන් නොදැවෙන අයුරින් ඔබගේ සිරුරේ එතෙම්,no,0,,,,
රෝහල,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මුළු ලොවම රෝහලකි,yes,1,ලොවම රෝහලකි,ලොවම ,රෝහලකි,The world is a hospital
රෝහල,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සෑම කෙනෙක්ම රෝගියෙකි,yes,1,සෑම කෙනෙක්ම රෝගියෙකි,,රෝගියෙකි,Everyone is a patient
රෝහල,ගාමිණි අබේසේකර,2006,සමරු සදෙස,උදේ දවල් රැයේ,no,0,,,,
රෝහල,ගාමිණි අබේසේකර,2006,සමරු සදෙස,රෝගීහු ඇතුළත් වෙති,no,0,,,,
රෝහල,ගාමිණි අබේසේකර,2006,සමරු සදෙස,පිටව යති නැවත එති,no,0,,,,
රෝහල,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ලෝකයම රෝහලකි,yes,1,ලෝකයම රෝහලකි,ලෝකයම,රෝහලකි,World is a hospital
ආවර්ජනා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නිමක් නැති ඉමක් නැති නිල් අහස් ගඟ දිගේ,yes,1,අහස් ගඟ,අහස් ,ගඟ,The sky is a river
ආවර්ජනා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දුමක් ලෙස තැනින් තැන සුදු වළාකුළු නැගේ,no,0,,,,
ආවර්ජනා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නමක් තනතුරක් කිසි බරක් හිස නැති යුගේ,no,0,,,,
ආවර්ජනා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,යමක් ගැන නිසසලව සිටිය හැකියැයි හැඟේ,similies,0,,,,
අම්මා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දිගම්බරේ පුලුන් යානා,yes,1,පුළුන් යානා,යානා,පුළුන්,The cotton planes
අම්මා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,වගේ සැහැල්ලුවක් ගෙනේ,no,0,,,,
අම්මා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මගේ ජීවන වලාකුලේ,yes,1,ජීවන වලාකුලේ,ජීවන,වලාකුලේ,The cloud of life
අම්මා,ගාමිණි අබේසේකර,2006,සමරු සදෙස,රිදී ඉරයි අම්මා,yes,1,රිදී ඉරයි අම්මා,අම්මා,රිදී ඉරයි,Mother is the silver ray in the cloud
මවකගේ වියෝව,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මා යායුතු මඟ පෙන්වා අතහිත දුනි අම්මා,no,0,,,,
මවකගේ වියෝව,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ජීවන මාවතේ තනිවූ අනාථයකු දැන් මා,yes,1,ජීවන මාවතේ,ජීවන,මාවතේ,The road of life
මවකගේ වියෝව,ගාමිණි අබේසේකර,2006,සමරු සදෙස,මට සැනසුම් පවන් සැලූ විජිනි පතයි අම්මා,yes,1,සැනසුම් පවන්,සැනසුම් ,පවන්,Wind of peace
මවකගේ වියෝව,ගාමිණි අබේසේකර,2006,සමරු සදෙස,නිති ඔවදන් මැණික් බෙදූ ආකරයකි අම්මා,yes,1,ඔවදන් මැණික්,ඔවදන්,මැණික්,The gems like advices
පියඹ වැළපෙයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,දෙගුරු සොයුරු නෑසිය වරු කිසිදු එපා යයි,no,0,,,,
පියඹ වැළපෙයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ඔබට එකතු වන්නට මා යෙදූ උපායයි,no,0,,,,
පියඹ වැළපෙයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අතීතයට මා නොදැනිම වගේ දෙපා යයි,no,0,,,,
පියඹ වැළපෙයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,එක්වීම සුරලොවයි වෙන්වීම අපායයි,yes,1,එක්වීම සුරලොවයි,එක්වීම ,සුරලොවයි,Joining is a heaven
පියඹ වැළපෙයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,එක්වීම සුරලොවයි වෙන්වීම අපායයි,yes,1,වෙන්වීම අපායයි,වෙන්වීම,අපායයි,Leaving is a hell
පියඹ වැළපෙයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,ජීවිතයම මිරිඟුවකැයි නැගේ සිතුවිලි,yes,1,ජීවිතයම මිරිඟුවකැයි,ජීවිතයම ,මිරිඟුවකැයි,Life is a mirage
පියඹ වැළපෙයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,සනාතනික දහම අනුව සොයමි සැනසිලි,no,0,,,,
පියඹ වැළපෙයි,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අනාගතේ සුසුම් පැතුම් දැලේ නොම ගිලි,yes,1,පැතුම් දැලේ,පැතුම් ,දැලේ,The net wishes
පුතෙකුගේ සෝ සුසුම්,ගාමිණි අබේසේකර,2006,සමරු සදෙස,අතීතයේ ජීවත් විය හැකිය මට යළි,no,0,,,,
